file_id,file_name,miss_title_ko,miss_title_en,miss_title_zh,miss_title_ja,miss_title_vi,miss_title_fr,miss_title_es,miss_title_ru,miss_title_mn,miss_description_ko,miss_description_en,miss_description_zh,miss_description_ja,miss_description_vi,miss_description_fr,miss_description_es,miss_description_ru,miss_description_mn,miss_definition_ko,miss_definition_en,miss_definition_zh,miss_definition_ja,miss_definition_vi,miss_definition_fr,miss_definition_es,miss_definition_ru,miss_definition_mn,miss_subtitle_ko,miss_subtitle_en,miss_subtitle_zh,miss_subtitle_ja,miss_subtitle_vi,miss_subtitle_fr,miss_subtitle_es,miss_subtitle_ru,miss_subtitle_mn,miss_note_ko,miss_note_en,miss_note_zh,miss_note_ja,miss_note_vi,miss_note_fr,miss_note_es,miss_note_ru,miss_note_mn,miss_notes_ko,miss_notes_en,miss_notes_zh,miss_notes_ja,miss_notes_vi,miss_notes_fr,miss_notes_es,miss_notes_ru,miss_notes_mn,freq_high,freq_mid,freq_low,freq_total_items
2_3_3,2_3_3_i_cvc.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,10,0,10
2_3_index,2_3_complex.index.json,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_4_1,2_4_1_wa_cvc.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
2_4_2,2_4_2_wae_oe_cvc.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,9,0,9
2_4_2,2_4_2_with_batchim.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,21,0,21
2_4_3,2_4_3_wo_cvc.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,6,0,6
2_4_4,2_4_4_we_wi_cvc.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,0,9
2_4_5,2_4_5_ui_cvc.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,4
2_4_index,2_4_index.json,0,0,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_index,2_index.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
